type,old_url,label,source_snapshot
page,https://devaaluminyum.com/,Anasayfa,20250711185606
page,https://devaaluminyum.com/Hakkimizda.html,Hakkımızda,20250711185606
page,https://devaaluminyum.com/Sayfa/56/hizmetlerimiz,Hizmetlerimiz,20250711185606
page,https://devaaluminyum.com/Sayfa/72/referanslarimiz,Referanslarımız,20250711185606
page,https://devaaluminyum.com/iletisim.html,İletişim,20250711185606
service,https://devaaluminyum.com/Sayfa/153/kayseri--aluminyum-kompozit-kaplama,Kayseri Alüminyum Kompozit Kaplama,20250711185606
service,https://devaaluminyum.com/Sayfa/167/bina-giris-kompozit-kaplama,Bina Giriş Kompozit Kaplama,20250711185606
service,https://devaaluminyum.com/Sayfa/168/fabrika-yonetim-binasi-kompozit-kaplama,Fabrika Yönetim Binası Kompozit Kaplama,20250711185606
service,https://devaaluminyum.com/Sayfa/156/kayseri-aluminyum-dograma,Kayseri Alüminyum Doğrama,20250711185606
service,https://devaaluminyum.com/Sayfa/157/kayseri-slikon-cephe-kaplama,Kayseri Slikon Cephe Kaplama,20250711185606
service,https://devaaluminyum.com/Sayfa/171/fransiz-balkon-korkuluklari,Fransız Balkon Korkulukları,20250711185606
service,https://devaaluminyum.com/Sayfa/170/balkon-korkuluklari,Balkon Korkulukları,20250711185606
service,https://devaaluminyum.com/Sayfa/169/merdiven-korkuluklari,Merdiven Korkulukları,20250711185606
service,https://devaaluminyum.com/Sayfa/162/kayseri--bina-giris-kapisi,Kayseri Bina Giriş Kapısı,20250711185606
service,https://devaaluminyum.com/Sayfa/163/kayseri-aluminyum-ofis-bolmeleri,Kayseri Alüminyum Ofis Bölmeleri,20250711185606
service,https://devaaluminyum.com/Sayfa/164/kayseri--fotoselli-otomatik-kapi-sistemleri-,Kayseri Fotoselli Otomatik Kapı Sistemleri,20250711185606
service,https://devaaluminyum.com/Sayfa/158/kayseri-cam-balkon-imalati-ve-montaj,Kayseri Cam Balkon İmalatı ve Montaj,20250711185606
feed,https://devaaluminyum.com/rss.php,RSS,20250711185606
sitemap,https://devaaluminyum.com/xml.php,Sitemap XML,20250711185606
